id,sequence,label
0,doubtgycedjgtsrufyfqkauefqvrkx,1
1,hjyazdsjvkiswrnetlvtgtwhatsoev,0
2,errjtujrhfdvfizwpmqrihscesyrmw,0
3,ehzmamsjwdpezyrwtnrdkutjjiyelf,0
4,actfzqkgoghuknascnhewfzemcuivm,0
5,roigbcaftfzlevnwwoklpbnzkbxgbh,0
6,cmuzpukpqazwiuiaovcqxnqmhybgoy,0
7,hhohlostogwosnvxxmzyllrylsybiy,1
8,boxvdapujzrwtuhfwqckwyuhadmekn,1
9,ccqqsnavrubeenhastediousnheslh,1
10,ltifzhxfqbjfghubhaxoaxatxbehcn,0
11,jpnmuxnjscrjzhsswfjjmzcnevpeej,0
12,uxkfchardfjkuxhoursfcnsrckxrid,1
13,shkmtjgfoaivxjwzxkzdkffkijzxmi,0
14,nbyhzwkeqcuifabqrhpdpuunavaili,0
15,ngbahuidqubpkqfsearchiumnufdjm,1
16,mrddpdoucjvqholqsrpekdnnszgncx,0
17,qcztfyvcygmrxcqqjascgadmpdvuug,0
18,tpekzswpvuoodawsufferingyxeent,1
19,oderltphgpnzbevkchtnnsgatcamhg,0
20,sqjrxxkqqzmapivgsmnvxoawdogwuz,0
21,lpfatiguetaexhbnbyejzqzjcdvlkm,1
22,gvfjpkeseitfvscjorpurtysikbdyu,0
23,raysbwcghtgkpoyscdtoakkjertsom,0
24,brvcwuwjesolmilantgpjwzqhzoruz,1
25,psxlboihezljcdnvdjsuitwftkjwps,0
26,ukvjkaoogfgjlsyxnjkbtccodebhir,0
27,iayeodabyzzqqdestspendingoatoc,1
28,fjwtefifnzcrfphwxjqizmnxfvbrvl,0
29,cogkepreciousungnpnbsqnwlbhwtq,1
30,gelngzrskhshbjaxkrcavcgcdizwan,0
31,zigersoidshubeyvyxaqqtoxudatcl,0
32,vrmozyvpszjfiywshkmuhjvdxwubej,0
33,ingaijdrivingtahxjihqswlbzuymu,1
34,swzwlwucojfinlkvltstuudzzeowoz,0
35,mmlzadlwtknelhotelyhvypjmuaebb,1
36,fzsuczblcpnlqmxoezidmywrnzieys,0
37,qwyvnqmlhqohcbbiqgtftstpkgwekp,0
38,kijacwqctwtgxboxszqthoksivdaak,1
39,jgpduquftzdjthutefbvtsfroluztp,0
40,pnhyspsujwjwmgeshadwaszfwstdmr,1
41,cljzqhuzyczxkfbeengjkmzrrvlrin,1
42,trdwjrlnmimuczhntasafevczvkrox,1
43,lqiarpvjffgbkkiqrpujkoigrpofun,0
